word,rating
food,7.0999999999999925
time,3.8000000000000007
delic,1.2
menu,1.0
գլխավորմենյուծառայություններթափուր,0.9999999999999999
աշխատատեղերպատկերասրահմեր,0.9999999999999999
մասինկապamruenմեր,0.5
մասինգլխավոր,0.9999999999999999
մեր,5.500000000000001
մասին,2.5
gorku,1.9000000000000004
mi,3.100000000000001
gyumri,4.400000000000002
armeniaբաց,0.9999999999999999
ամեն,1.5
օրam,1.2
pmբարի,0.5
գալուստ,1.2
timefood,0.7
timeը,4.500000000000002
հիմնադրվել,2.2000000000000006
թվականի,2.2000000000000006
մարտի,2.2000000000000006
ինգյումրիում,0.7999999999999999
նմանատիպ,2.3000000000000007
ոլորտում,2.3000000000000007
առաջիններից,2.3000000000000007
սակայան,2.3000000000000007
քրտնաջան,2.3000000000000007
աշխատանքի,2.3000000000000007
շնորհիվ,2.3000000000000007
քաղաքում,2.3000000000000007
դարձավ,2.3000000000000007
առաջատար,2.3000000000000007
հասցրեց,2.3000000000000007
սիրվել,2.3000000000000007
միայն,2.3000000000000007
գյումրեցիների,2.3000000000000007
ամբողջ,2.3000000000000007
հայաստանի,2.3000000000000007
արտերկրից,2.3000000000000007
ժամանած,2.3000000000000007
հյուրերի,2.3000000000000007
կողմիցլուսավոր,0.7999999999999999
հարմարավետ,0.8999999999999999
վայր,0.8999999999999999
գրավում,0.8999999999999999
առաջին,0.8999999999999999
հայացքից,0.8999999999999999
բաց,1.4
խոհանոցները,0.8999999999999999
հնարավորություն,0.8999999999999999
տալիս,0.8999999999999999
հետևել,0.8999999999999999
խոհարարների,0.8999999999999999
աշխատանքին,0.8999999999999999
անձամբ,0.8999999999999999
համոզվել,0.8999999999999999
որակի,0.8999999999999999
բարձրակարգ,0.8999999999999999
լինելու,0.8999999999999999
մեջմեզ,0.7999999999999999
մոտ,0.8999999999999999
կարող,1.8000000000000007
վայելել,0.8999999999999999
ուտեստների,0.8999999999999999
բազմազան,2.2000000000000006
տեսականիներ,0.8999999999999999
որոնց,0.8999999999999999
համը,0.8999999999999999
ձեզ,0.8999999999999999
միշտ,0.8999999999999999
կլինի,0.8999999999999999
ուղեկիցհամտեսել,0.7999999999999999
տեսականին,0.8999999999999999
այցելելով,0.8999999999999999
գորկու,0.8999999999999999
հասցում,0.8999999999999999
գտնվող,0.8999999999999999
պատվիրեք,0.8999999999999999
սիրով,0.8999999999999999
կառաքենքխոհանոցառաքումգոհ,0.5
հաճախորդմեր,0.5
մասինfood,1.2
գյումրիում,1.5
կողմիցծառայություններպահքի,1.0
ճաշացանկառաքումբազմազան,1.2999999999999998
խոհանոցհարցեր,1.0
ունեքgorku,1.2
foodtimelistru,1.6
copyright,1.2
all,1.2
right,1.2
reserv,1.2
brain,1.5
for,1.5
մասինկապamruen,0.4
pm,0.7999999999999999
armenia,0.30000000000000004
բարի,0.7000000000000001
կառաքենք,0.4
խոհանոցառաքումգոհ,0.5
հաճախորդ,0.8999999999999999
խոհանոց,1.1
առաքում,0.8
գոհ,0.4
կողմից,0.5
ծառայություններպահքի,0.2
հարցեր,0.6000000000000001
գլխավոր,0.8999999999999999
մենյու,0.4
ծառայություններ,0.8
թափուր,0.4
աշխատատեղեր,0.4
պատկերասրահ,0.4
կապ,0.4
ru,0.4
en,0.4
պահքի,0.5
ճաշացանկ,0.4
մասինկապ,0.1
amruen,0.1
լուսավոր,0.1
մեզ,0.1
ուղեկից,0.1
համտեսել,0.1
Օր,0.3
ունեք,0.4
