word,rating
food,14.999999999999979
time,14.69999999999998
delic,1.2
menu,6.299999999999998
homemenuservicesvacanciesgalleryabout,0.9999999999999999
uscontactamruendeliciousdiffer,0.5
cuisineinterest,0.9999999999999999
dish,3.7000000000000024
worldview,0.9999999999999999
menucrunchyfast,0.6
foodrich,0.9999999999999999
memor,2.100000000000001
tasteview,0.9999999999999999
menuwelcomenew,0.6
approachif,0.9999999999999999
lover,1.0999999999999999
youll,1.0999999999999999
love,3.800000000000002
timeview,0.9999999999999999
gorku,1.9000000000000004
mi,3.100000000000001
gyumri,8.99999999999999
armeniaopen,0.9999999999999999
everi,1.5
dayam,1.2
pmwelcom,0.5
A,1.2
restaurantfood,0.7
found,2.2000000000000006
march,2.2000000000000006
In,2.400000000000001
citi,2.3000000000000007
first,3.2000000000000015
fast,2.8000000000000007
establish,2.3000000000000007
thank,2.3000000000000007
hard,2.3000000000000007
work,3.2000000000000015
becom,2.3000000000000007
fisrt,2.3000000000000007
resid,2.3000000000000007
also,2.3000000000000007
guest,2.3000000000000007
differ,4.700000000000001
countriessunlit,0.7999999999999999
place,1.9000000000000008
thing,0.8999999999999999
jump,0.8999999999999999
our,1.7000000000000002
chef,0.8999999999999999
front,0.8999999999999999
visitor,0.8999999999999999
give,0.8999999999999999
possibl,0.8999999999999999
wit,0.8999999999999999
high,0.8999999999999999
qualiti,0.8999999999999999
dishesin,0.7999999999999999
enjoy,0.8999999999999999
kind,0.8999999999999999
tast,2.200000000000001
long,0.8999999999999999
timevisit,0.7999999999999999
us,1.7000000000000002
gorki,0.8999999999999999
St,0.8999999999999999
orord,0.8999999999999999
favorit,0.8999999999999999
deliv,0.8999999999999999
great,0.8999999999999999
loveour,0.5
servicesfood,0.8999999999999999
cozi,0.9999999999999999
spend,0.9999999999999999
friend,0.9999999999999999
familyvegan,0.7
menuspeci,1.0999999999999999
prefer,1.2
healthi,1.2
fooddeliveryfood,0.7999999999999999
alway,1.2
meat,1.2
halfwaydiffer,0.7999999999999999
cuisinean,1.0999999999999999
opportun,1.2
worldwid,1.2
dishescuisinedeliveryhappi,0.5
customerabout,0.5
usfood,1.2
countriesservicesvegan,1.0
menudeliverydiffer,1.2999999999999998
cuisinehav,1.0
questionsgorku,1.2
foodtimelistru,1.6
copyright,1.2
all,1.2
right,1.2
reserv,1.2
brain,1.5
for,1.5
uscontactamruen,0.4
deliciousdiffer,0.5
crunchyfast,0.4
welcomenew,0.4
pm,0.7999999999999999
armenia,0.30000000000000004
open,0.5
welcom,0.8
restaur,0.5
famili,0.30000000000000004
vegan,1.2
deliveryfood,0.30000000000000004
halfway,0.4
cuisinedeliveryhappi,0.5
custom,0.8999999999999999
cuisin,1.9000000000000001
deliveri,1.1
happi,0.4
about,1.5
countri,0.5
servicesvegan,0.2
have,0.6000000000000001
home,0.4
servic,1.2000000000000002
vacanc,0.4
galleri,0.4
contact,0.4
ru,0.4
en,0.4
view,1.2
uscontact,0.1
amruen,0.1
delici,0.1
crunchi,0.1
new,0.5
approach,0.5
interest,0.1
world,0.1
rich,0.1
If,0.1
sunlit,0.1
visit,0.1
special,0.1
An,0.1
day,0.3
question,0.4
